Season,Date,Location,Team,Opponent,Abbr,Jersey,PlayerName,StarterFlag,Mins,3PT_Pct,FG_Pct,FT_Pct,Reb_O,Reb_D,Reb_T,PF,AST,TO,BLK,STL,Pts,3PTM,3PTA,FGM,FGA,FTM,FTA,TS_Pct,eFG_Pct,HomeAway
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,23.0,Roman Niro,True,31,66.7,50.0,75.0,0,1,1,1,1,2,0,1,25,4,6,9,18,3,4,63.26,61.11,
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,8.0,Nathaniel Bangura,False,20,50.0,66.7,66.7,2,3,5,2,2,1,1,0,17,1,2,6,9,4,6,73.02,72.22,
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,7.0,Adrian Deere,False,27,22.2,38.9,0.0,2,4,6,1,3,0,0,1,16,2,9,7,18,0,0,44.44,44.44,
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,2.0,Devin Miron,True,31,50.0,50.0,66.7,1,10,11,1,4,2,0,0,11,1,2,4,8,2,3,59.01,56.25,
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,1.0,Peter De La Paz,False,4,100.0,100.0,0.0,0,0,0,1,1,1,0,0,6,2,2,2,2,0,0,150.0,150.0,
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,5.0,Johan Germain,True,21,0.0,14.3,100.0,0,1,1,5,6,2,0,1,3,0,4,1,7,1,1,20.16,14.29,
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,22.0,Taleh Wade,False,10,33.3,25.0,0.0,0,1,1,1,0,1,0,0,3,1,3,1,4,0,0,37.5,37.5,
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,10.0,Riley Rathwell,False,10,0.0,25.0,0.0,0,1,1,1,1,0,0,1,2,0,1,1,4,0,0,25.0,25.0,
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,25.0,Jaylen White,True,14,0.0,100.0,0.0,1,5,6,2,0,0,1,1,2,0,0,1,1,0,0,100.0,100.0,
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,34.0,Shawn Cher-Enfant,True,14,0.0,0.0,50.0,0,0,0,2,0,0,0,1,1,0,0,0,2,1,2,17.36,0.0,
2022-23,2022-09-23,"Sudbury, ON",Algoma Thunderbirds,Laurentian Voyageurs,ALG,21.0,Joel Ongagna,False,15,0.0,0.0,50.0,1,6,7,1,1,2,1,0,1,0,0,0,3,1,2,12.89,0.0,
2022-23,2022-09-23,"Sudbury, ON",Laurentian Voyageurs,Algoma Thunderbirds,LAU,22.0,Caillou Lacroix,True,34,45.5,50.0,0.0,3,6,9,3,0,2,0,1,25,5,11,10,20,0,0,62.5,62.5,
2022-23,2022-09-23,"Sudbury, ON",Laurentian Voyageurs,Algoma Thunderbirds,LAU,34.0,Salim Coulibaly,True,27,0.0,71.4,50.0,3,7,10,2,0,2,0,1,13,0,1,5,7,3,6,67.43,71.43,
2022-23,2022-09-23,"Sudbury, ON",Laurentian Voyageurs,Algoma Thunderbirds,LAU,35.0,Abdulmajid Hassan,False,27,20.0,30.0,100.0,0,0,0,1,1,0,0,3,13,1,5,3,10,6,6,51.42,35.0,
2022-23,2022-09-23,"Sudbury, ON",Laurentian Voyageurs,Algoma Thunderbirds,LAU,15.0,Jordan Katchunga,True,31,16.7,36.4,100.0,0,12,12,2,9,3,0,2,11,1,6,4,11,2,2,46.3,40.91,
2022-23,2022-09-23,"Sudbury, ON",Laurentian Voyageurs,Algoma Thunderbirds,LAU,24.0,Coban Scott,True,20,0.0,42.9,75.0,2,3,5,2,1,1,0,1,9,0,3,3,7,3,4,51.37,42.86,
2022-23,2022-09-23,"Sudbury, ON",Laurentian Voyageurs,Algoma Thunderbirds,LAU,12.0,Cedric Mbiaba,True,23,0.0,37.5,100.0,1,6,7,2,4,3,1,1,8,0,1,3,8,2,2,45.05,37.5,
2022-23,2022-09-23,"Sudbury, ON",Laurentian Voyageurs,Algoma Thunderbirds,LAU,14.0,Ethan Cudney,False,14,0.0,25.0,0.0,0,1,1,0,0,0,0,0,2,0,1,1,4,0,0,25.0,25.0,
2022-23,2022-09-23,"Sudbury, ON",Laurentian Voyageurs,Algoma Thunderbirds,LAU,10.0,Kamil Dia Hantchi,False,11,0.0,20.0,0.0,0,1,1,2,2,1,0,0,2,0,3,1,5,0,0,20.0,20.0,
2022-23,2022-09-23,"Sudbury, ON",Laurentian Voyageurs,Algoma Thunderbirds,LAU,23.0,Rudy Beya,False,12,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,2,0,5,0,0,0.0,0.0,
2022-23,2022-09-23,"Sudbury, ON",Laurentian Voyageurs,Algoma Thunderbirds,LAU,42.0,Olgaga Diba,False,1,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
2022-23,2022-09-29,"Oshawa, ON",Bishop's Gaiters,Ontario Tech Ridgebacks,BIS,5.0,Rowan Halpenny,True,33,20.0,43.8,0.0,2,3,5,1,0,0,0,3,15,1,5,7,16,0,0,46.88,46.88,
2022-23,2022-09-29,"Oshawa, ON",Bishop's Gaiters,Ontario Tech Ridgebacks,BIS,23.0,David Navarro,True,31,22.2,31.2,0.0,6,4,10,1,0,2,0,1,12,2,9,5,16,0,0,37.5,37.5,
2022-23,2022-09-29,"Oshawa, ON",Bishop's Gaiters,Ontario Tech Ridgebacks,BIS,13.0,Ambs Mathe,False,26,50.0,30.0,50.0,3,1,4,2,1,3,0,1,8,1,2,3,10,1,2,36.76,35.0,
2022-23,2022-09-29,"Oshawa, ON",Bishop's Gaiters,Ontario Tech Ridgebacks,BIS,4.0,Obinna Dike-Nwagbara,True,24,50.0,30.0,0.0,1,3,4,2,1,1,0,2,7,1,2,3,10,0,0,35.0,35.0,
2022-23,2022-09-29,"Oshawa, ON",Bishop's Gaiters,Ontario Tech Ridgebacks,BIS,14.0,Etienne Gagnon,True,30,0.0,33.3,62.5,5,5,10,3,0,1,0,3,7,0,1,1,3,5,8,53.68,33.33,
2022-23,2022-09-29,"Oshawa, ON",Bishop's Gaiters,Ontario Tech Ridgebacks,BIS,0.0,Tiernan McDougall,False,11,33.3,25.0,75.0,0,0,0,0,1,2,0,3,6,1,3,1,4,3,4,52.08,37.5,
2022-23,2022-09-29,"Oshawa, ON",Bishop's Gaiters,Ontario Tech Ridgebacks,BIS,11.0,Micah Della Foresta,False,10,100.0,20.0,100.0,2,2,4,1,0,1,0,1,4,1,1,1,5,1,1,36.76,30.0,
2022-23,2022-09-29,"Oshawa, ON",Bishop's Gaiters,Ontario Tech Ridgebacks,BIS,2.0,Hisham Saleh,False,19,0.0,8.3,50.0,1,0,1,1,2,2,0,0,3,0,5,1,12,1,2,11.65,8.33,
2022-23,2022-09-29,"Oshawa, ON",Bishop's Gaiters,Ontario Tech Ridgebacks,BIS,8.0,Carl Dubois,True,16,0.0,0.0,0.0,2,2,4,2,0,2,1,0,0,0,1,0,2,0,0,0.0,0.0,
2022-23,2022-09-29,"Oshawa, ON",Ontario Tech Ridgebacks,Bishop's Gaiters,ONT,5.0,Andrade Junior Cummings,True,33,60.0,70.0,100.0,0,2,2,0,0,2,0,1,20,3,5,7,10,3,3,88.34,85.0,
