Season,Date,Location,Team,Opponent,Jersey,PlayerName,StarterFlag,Mins,3PT_Pct,FG_Pct,FT_Pct,Reb_O,Reb_D,Reb_T,PF,AST,TO,BLK,STL,Pts,3PTM,3PTA,FGM,FGA,FTM,FTA,TS_Pct,eFG_Pct,HomeAway
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,1.0,Gabe Davignon,True,25,28.6,41.7,100.0,1,4,5,0,3,1,0,3,20,2,7,5,12,8,8,64.43,50.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,10.0,Briawne Wilson,False,21,100.0,63.6,75.0,1,0,1,2,1,2,0,2,18,1,1,7,11,3,4,70.53,68.18,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,5.0,Glen Cox,True,18,0.0,50.0,71.4,1,3,4,0,0,0,0,0,15,0,1,5,10,5,7,57.34,50.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,2.0,Erik Hayden,True,18,100.0,62.5,0.0,4,1,5,1,2,3,0,2,11,1,1,5,8,0,0,68.75,68.75,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,4.0,Kyle Munro,True,24,33.3,40.0,100.0,1,1,2,0,5,0,1,3,11,1,3,4,10,2,2,50.55,45.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,8.0,David Chijioke,False,15,50.0,60.0,0.0,0,1,1,3,0,0,0,2,8,2,4,3,5,0,0,80.0,80.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,9.0,Donovan Reid,False,12,0.0,60.0,0.0,4,2,6,1,1,0,0,2,6,0,0,3,5,0,0,60.0,60.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,13.0,Ryan Regault,False,21,25.0,16.7,33.3,0,2,2,0,4,1,0,1,4,1,4,1,6,1,3,27.32,25.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,21.0,Marc Sidoine Nkwitche,True,14,0.0,50.0,0.0,1,0,1,3,0,2,0,0,4,0,0,2,4,0,1,45.05,50.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,11.0,Alain Mapendo,False,7,0.0,25.0,0.0,0,0,0,2,2,0,0,1,2,0,3,1,4,0,0,25.0,25.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,22.0,Adam Rosenberger,False,6,0.0,100.0,0.0,0,4,4,2,0,0,0,0,2,0,0,1,1,0,0,100.0,100.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,7.0,Markus Hayden,False,5,0.0,0.0,50.0,1,0,1,0,0,0,0,1,1,0,0,0,2,1,2,17.36,0.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,12.0,Joseph Dongelmans,False,5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,3.0,Robbie Grant,False,10,0.0,0.0,0.0,1,3,4,0,1,2,0,0,0,0,2,0,2,0,0,0.0,0.0,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,3.0,Matt Pennell,False,23,85.7,60.0,100.0,0,4,4,0,2,1,1,0,20,6,7,6,10,2,2,91.91,90.0,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,1.0,D.J. Jackson,True,27,50.0,50.0,66.7,0,1,1,2,6,0,0,0,14,2,4,4,8,4,6,65.79,62.5,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,2.0,Keyonte Beals,False,21,33.3,55.6,0.0,1,3,4,1,2,2,0,1,12,2,6,5,9,0,0,66.67,66.67,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,0.0,Gatluak James,True,26,0.0,33.3,66.7,1,7,8,2,2,0,0,1,10,0,3,3,9,4,6,42.96,33.33,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,7.0,Gloire Koua,False,17,0.0,75.0,60.0,2,4,6,3,1,3,2,1,9,0,1,3,4,3,5,72.58,75.0,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,23.0,Koat Thomas,True,19,50.0,50.0,0.0,3,2,5,1,1,1,0,0,9,1,2,4,8,0,1,53.32,56.25,
