Season,Date,Location,Team,Opponent,Jersey,PlayerName,StarterFlag,Mins,ThreePt_Made_Att,ThreePtPct,FG_Made_Att,FGPct,FT_Made_Att,FTPct,Reb_Off,Reb_Def,Reb_Tot,PF,AST,TO,BLK,STL,Pts
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,12,Cole Newton,1,30,1-8,12.5,8-24,33.3,1-1,100.0,3,3,6,3,5,3,0,1,18
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,1,Sam Playter,1,34,4-7,57.1,6-13,46.2,0-0,0.0,1,6,7,5,2,3,0,4,16
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,3,Josh Inkumsah,1,26,2-3,66.7,5-6,83.3,1-3,33.3,1,7,8,3,2,3,2,1,13
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,6,Liban Abdalla,0,23,2-5,40.0,3-6,50.0,0-0,0.0,0,1,1,2,1,0,1,0,8
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,8,Steven Angenent,0,13,1-1,100.0,2-2,100.0,0-0,0.0,0,0,0,0,0,1,0,0,5
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,20,Thomas Chilton,1,20,0-4,0.0,2-8,25.0,1-2,50.0,1,3,4,2,1,1,0,0,5
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,23,Jacques-Melaine Guemeta,0,10,0-0,0.0,1-2,50.0,0-0,0.0,0,3,3,2,0,1,0,0,2
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,11,Brock Newton,1,11,0-1,0.0,1-5,20.0,0-1,0.0,0,0,0,1,1,0,0,0,2
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,22,Nathaniel Simms,0,6,0-1,0.0,0-1,0.0,2-2,100.0,0,1,1,0,0,0,0,0,2
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,25,Charles-Antoine Gaba,0,16,0-1,0.0,0-2,0.0,0-0,0.0,2,2,4,2,1,2,1,0,0
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,24,Salih Halawa,0,3,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,0,0
2022-23,"Thu Aug 4, 2022","Toronto, ON",Ottawa Gee Gees,Northern Illinois Huskies,14,Cole Newkirk,0,8,0-2,0.0,0-2,0.0,0-0,0.0,1,1,2,0,0,1,0,0,0
2022-23,"Fri Aug 5, 2022","Montreal, QC",Concordia Stingers,Northeastern Huskies,9,Sami Jahan,1,33,0-1,0.0,10-20,50.0,4-6,66.7,2,3,5,2,2,2,0,1,24
2022-23,"Fri Aug 5, 2022","Montreal, QC",Concordia Stingers,Northeastern Huskies,22,Aleksa Popadic,1,25,2-7,28.6,5-13,38.5,3-4,75.0,3,6,9,2,0,2,0,0,15
2022-23,"Fri Aug 5, 2022","Montreal, QC",Concordia Stingers,Northeastern Huskies,21,Steve Mbida Abomo,1,36,1-8,12.5,4-18,22.2,3-4,75.0,2,3,5,3,0,3,0,1,12
2022-23,"Fri Aug 5, 2022","Montreal, QC",Concordia Stingers,Northeastern Huskies,4,Alec Phaneuf,1,28,0-3,0.0,3-10,30.0,0-1,0.0,0,3,3,0,4,2,0,1,6
2022-23,"Fri Aug 5, 2022","Montreal, QC",Concordia Stingers,Northeastern Huskies,14,Oge Nwoko,1,29,0-3,0.0,0-3,0.0,1-2,50.0,1,2,3,4,0,0,0,1,1
2022-23,"Fri Aug 5, 2022","Montreal, QC",Concordia Stingers,Northeastern Huskies,12,Griffyn Bibbings,0,2,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,0,0
2022-23,"Fri Aug 5, 2022","Montreal, QC",Concordia Stingers,Northeastern Huskies,13,Adrien Colas,0,7,0-1,0.0,0-1,0.0,0-0,0.0,1,2,3,0,0,1,0,0,0
2022-23,"Fri Aug 5, 2022","Montreal, QC",Concordia Stingers,Northeastern Huskies,20,Ulrich Djossou,0,2,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,1,0,0,0
