team,abbr,city,province
Acadia Axemen,ACA,Wolfville,NS
Algoma Thunderbirds,ALG,Sault Ste. Marie,ON
Alberta Golden Bears,ALB,Edmonton,AB
Bishop's Gaiters,BIS,Sherbrooke,QC
Brandon Bobcats,BRA,Brandon,MB
Brock Badgers,BRO,St. Catharines,ON
Calgary Dinos,CGY,Calgary,AB
Cape Breton Capers,CBR,Sydney,NS
Carleton Ravens,CAR,Ottawa,ON
Concordia Stingers,CON,Montreal,QC
Dalhousie Tigers,DAL,Halifax,NS
Guelph Gryphons,GUE,Guelph,ON
Lakehead Thunderwolves,LAK,Thunder Bay,ON
Laurentian Voyageurs,LAU,Sudbury,ON
Laval Rouge et Or,LAV,Quebec City,QC
Lethbridge Pronghorns,LET,Lethbridge,AB
MacEwan Griffins,MCE,Edmonton,AB
McGill Redbirds,MCG,Montreal,QC
McMaster Marauders,MCM,Hamilton,ON
Memorial Sea-Hawks,SEA,St. John's,NL
Mount Royal University Cougars,MRU,Calgary,AB
Manitoba Bisons,MAN,Winnipeg,MB
Nipissing Lakers,NIP,North Bay,ON
Ontario Tech Ridgebacks,ONT,Oshawa,ON
Ottawa Gee Gees,OTT,Ottawa,ON
Prince Edward Island Panthers,UPEI,Charlottetown,PE
Queen's Gaels,QUE,Kingston,ON
Regina Cougars,REG,Regina,SK
St. Francis Xavier X-Men,STX,Antigonish,NS
Saint Mary's Huskies,SMU,Halifax,NS
Saskatchewan Huskies,SAS,Saskatoon,SK
Toronto Varsity Blues,TOR,Toronto,ON
TMU Bold,TMU,Toronto,ON
Thompson Rivers WolfPack,TRU,Kamloops,BC
Trinity Western Spartans,TWU,Langley,BC
UBC Thunderbirds,UBC,Vancouver,BC
UBC Okanagan Heat,OKA,Kelowna,BC
UFV Cascades,UFV,Abbotsford,BC
UNB Reds,UNB,Fredericton,NB
UNBC Timberwolves,UNC,Prince George,BC
UQAM Citadins,UQA,Montreal,QC
Victoria Vikes,VIU,Victoria,BC
Waterloo Warriors,WAT,Waterloo,ON
Western Mustangs,WES,London,ON
Wilfrid Laurier Golden Hawks,WLH,Waterloo,ON
Windsor Lancers,WIN,Windsor,ON
Winnipeg Wesmen,WWM,Winnipeg,MB
York Lions,YOR,Toronto,ON
