November,,,,
Sat. 5,,,,
Away,Home,Notes,Status,Links
Windsor102,Algoma71,,Final*,Box Score
Thompson Rivers66,Winnipeg72,Canada West,Final*,Box Score
UFV88,MacEwan81,Canada West,Final*,Box ScoreRecap
Memorial93,UNB85,,Final*,Box ScoreRecap
UPEI90,Acadia74,,Final*,Box ScoreRecapRecapPhotos
Saint Mary's60,Dalhousie94,,Final*,Box ScoreRecapRecapPhotos
McGill70,Laval84,RSEQ M03,Final*,Box Score
Toronto88,Toronto Metropolitan87,OUA #10,Final*,Box Score
York65,Ottawa88,OUA #13,Final*,Box ScoreRecap
McMaster68,Carleton82,OUA #11,Final*,Box Score
Laurier58,Brock84,OUA #12,Final*,Box Score
Waterloo58,Lakehead63,OUA #14,Final*,Box Score
Alberta88,Manitoba93,Canada West,Final - 2OT*,Box Score
Mount Royal94,Saskatchewan75,Canada West,Final*,Box Score
Regina75,Brandon109,Canada West,Final*,Box Score
UBC Okanagan60,Calgary91,Canada West,Final*,Box Score
Victoria88,Lethbridge60,Canada West,Final*,Box Score
Trinity Western69,UNBC85,Canada West,Final*,Box Score
Sun. 6,,,,
Away,Home,Notes,Status,Links
Memorial85,UNB88,,Final*,Box ScoreRecap
Cape Breton58,StFX90,,Final*,Box ScoreRecapRecap
UPEI93,Acadia70,,Final*,Box ScoreRecapRecapPhotos
Wed. 9,,,,
Away,Home,Notes,Status,Links
Toronto Metropolitan90,Toronto97,OUA #17,Final - OT*,Box Score
Thu. 10,,,,
Away,Home,Notes,Status,Links
Bishop's61,Concordia74,RSEQ M04,Final*,Box Score
Fri. 11,,,,
Away,Home,Notes,Status,Links
UNB76,Saint Mary's98,,Final*,Box ScoreRecapRecapPhotos
StFX84,UPEI89,,Final*,Box ScoreRecapRecapPhotos
Cape Breton82,Acadia91,,Final*,Box ScoreRecapRecap
Western88,Algoma57,,Final*,Box Score
UQAM63,Laval71,RSEQ M05,Final*,Box Score
Ontario Tech73,Queen's104,OUA #22,Final*,Box Score
Laurier92,Guelph91,OUA #20,Final*,Box Score
Carleton86,Nipissing69,OUA #18,Final*,Box Score
York61,McMaster89,OUA #24,Final*,Box Score
Ottawa79,Laurentian53,OUA #25,Final*^,Box ScoreRecapRecap
Waterloo48,Toronto Metropolitan97,OUA #19,Final*,Box Score
Lakehead92,Brock90,OUA #23,Final - OT*,Box Score
Saskatchewan72,Regina87,Canada West,Final*,Box Score
MacEwan58,Mount Royal87,Canada West,Final*,Box ScoreRecap
Calgary80,Alberta108,Canada West,Final*,Box Score
Winnipeg66,Victoria91,Canada West,Final*,Box Score
Lethbridge85,Trinity Western90,Canada West,Final - OT*,Box Score
Manitoba73,UFV61,Canada West,Final*,Box Score
Sat. 12,,,,
Away,Home,Notes,Status,Links
StFX96,UPEI67,,Final*,Box ScoreRecapRecapPhotos
Cape Breton98,Acadia97,,Final*,Box ScoreRecapRecapRecap
McGill57,Concordia58,RSEQ M06,Final*,Box Score
Western96,Algoma65,,Final*,Box Score
Dalhousie90,Memorial101,,Final*,Box ScoreRecap
UNB81,Saint Mary's89,,Final*,Box ScoreRecapRecapPhotos
UNBC100,UBC87,Canada West,Final*,Box Score
Lakehead58,Brock81,OUA #29,Final*,Box Score
Windsor79,Waterloo50,OUA #32,Final*,Box Score
Carleton80,Laurentian64,OUA #26,Final*,Box ScoreRecapRecap
Ottawa76,Nipissing66,OUA #27,Final*,Box Score
Laurier59,Toronto67,OUA #31,Final*,Box Score
Ontario Tech85,York94,OUA #30,Final*,Box Score
Saskatchewan66,Regina75,Canada West,Final*,Box Score
MacEwan69,Mount Royal97,Canada West,Final*,Box ScoreRecap
Calgary91,Alberta92,Canada West,Final - OT*,Box Score
Manitoba92,UFV53,Canada West,Final*,Box Score
Brandon90,UBC Okanagan89,Canada West,Final*,Box Score
Lethbridge72,Trinity Western77,Canada West,Final*,Box Score
Winnipeg79,Victoria94,Canada West,Final*,Box Score
Sun. 13,,,,
Away,Home,Notes,Status,Links
Dalhousie102,Memorial72,,Final*,Box ScoreRecap
Queen's79,McMaster65,OUA #33,Final*,Box Score
UNBC67,UBC93,Canada West,Final*,Box Score
Brandon109,UBC Okanagan95,Canada West,Final*,Box Score
Wed. 16,,,,
Away,Home,Notes,Status,Links
Toronto69,York60,OUA #35,Final*,Box Score
Guelph96,Laurier102,OUA #34,Final - OT*,Box Score
Thu. 17,,,,
Away,Home,Notes,Status,Links
UQAM87,McGill76,RSEQ M08,Final*,Box Score
Laval85,Bishop's95,RSEQ M07,Final*,Box Score
Fri. 18,,,,
Away,Home,Notes,Status,Links
Saint Mary's91,Cape Breton102,(4-point game),Final*,Box ScoreRecapRecapPhotos
Algoma62,Toronto82,,Final*,Box Score
Laurentian84,Western92,OUA #36,Final*^,Box ScoreRecapRecap
Toronto Metropolitan68,McMaster75,OUA #42,Final*,Box Score
Waterloo53,Brock87,OUA #40,Final*,Box Score
Ottawa65,Lakehead69,OUA #38,Final*,Box Score
Carleton62,Queen's76,OUA #41,Final*,Box Score
Nipissing74,Windsor76,OUA #37,Final*,Box Score
Lethbridge74,Brandon101,Canada West,Final*,Box Score
MacEwan69,Calgary80,Canada West,Final*,Box ScoreRecap
Victoria92,Alberta71,Canada West,Final*,Box Score
UBC Okanagan78,Thompson Rivers63,Canada West,Final*,Box Score
UBC83,Trinity Western74,Canada West,Final*,Box Score
UNBC75,UFV79,Canada West,Final*,Box Score
Sat. 19,,,,
Away,Home,Notes,Status,Links
York77,Guelph97,OUA #47,Final*,Box Score
Algoma45,Toronto Metropolitan94,OUA #45,Final*,Box Score
Bishop's72,UQAM77,RSEQ M09,Final*,Box Score
Memorial63,StFX121,(4-point game),Final*,Box ScoreRecap
UPEI79,UNB82,(4-point game),Final - OT*,Box ScoreRecapRecapPhotos
Queen's,Ontario Tech,OUA #49,Postponed*,Live stats
Nipissing65,Western106,OUA #48,Final*,Box Score
Concordia83,Laval79,RSEQ M10,Final*,Box Score
Laurier63,Lakehead78,OUA #44,Final*,Box Score
Laurentian74,Windsor99,OUA #43,Final*,Box ScoreRecapRecap
Brock75,McMaster67,OUA #46,Final*,Box Score
Lethbridge73,Brandon90,Canada West,Final*,Box Score
MacEwan65,Calgary89,Canada West,Final*,Box ScoreRecap
Victoria84,Alberta89,Canada West,Final*,Box Score
UNBC88,UFV67,Canada West,Final*,Box Score
UBC94,Trinity Western96,Canada West,Final*,Box Score
UBC Okanagan92,Thompson Rivers68,Canada West,Final*,Box Score
Sun. 20,,,,
Away,Home,Notes,Status,Links
Memorial72,StFX78,(4-point game),Final*,Box ScoreRecap
Wed. 23,,,,
Away,Home,Notes,Status,Links
Acadia73,Saint Mary's90,(4-point game),Final*,Box ScoreRecapRecapPhotos
Thu. 24,,,,
Away,Home,Notes,Status,Links
Concordia75,Bishop's74,RSEQ M11,Final*,Box Score
Fri. 25,,,,
Away,Home,Notes,Status,Links
StFX91,Dalhousie88,(4-point game),Final - OT*,Box ScoreRecapRecap
UNB94,Cape Breton85,(4-point game),Final*,Box ScoreRecapRecap
UPEI95,Saint Mary's87,(4-point game),Final*,Box ScoreRecapRecapPhotosPhotos
Guelph90,Algoma73,,Final*,Box Score
Windsor76,Carleton98,OUA #55,Final*,Box Score
Toronto95,Nipissing72,OUA #54,Final*,Box Score
Ontario Tech77,Waterloo75,OUA #56,Final*,Box Score
Brock68,York63,OUA #57,Final*,Box Score
Toronto Metropolitan100,Laurentian69,OUA #52,Final*,Box ScoreRecapRecap
McMaster81,Lakehead71,OUA #58,Final*,Box Score
Queen's77,Laurier73,OUA #53,Final*,Box Score
Western78,Ottawa98,OUA #50,Final*,Box ScoreRecap
Manitoba85,Regina76,Canada West,Final*,Box Score
Brandon96,Saskatchewan81,Canada West,Final*,Box Score
UBC82,Mount Royal69,Canada West,Final*,Box Score
Winnipeg73,MacEwan49,Canada West,Final*,Box ScoreRecap
Thompson Rivers69,Lethbridge81,Canada West,Final*,Box Score
UFV,UBC Okanagan,Canada West,Postponed*,Live stats
Calgary92,UNBC95,Canada West,Final - OT*,Box Score
Trinity Western69,Victoria85,Canada West,Final*,Box Score
Sat. 26,,,,
Away,Home,Notes,Status,Links
Guelph89,Algoma76,,Final*,Box Score
Windsor66,Ottawa74,OUA #61,Final*,Box ScoreRecap
Laval68,McGill85,RSEQ M12,Final*,Box Score
Queen's90,Waterloo49,OUA #65,Final*,Box Score
UQAM83,Concordia59,RSEQ M13,Final*,Box Score
Winnipeg87,MacEwan80,Canada West,Final*,Box ScoreRecap
UNB77,StFX92,(4-point game),Final*,Box ScoreRecapRecap
UPEI73,Dalhousie80,(4-point game),Final*,Box ScoreRecapRecap
Toronto Metropolitan79,Nipissing92,OUA #63,Final*,Box Score
Western91,Carleton97,OUA #62,Final*,Box Score
McMaster85,Lakehead107,OUA #59,Final*,Box Score
Toronto82,Laurentian70,OUA #66,Final*,Box ScoreRecapRecap
Ontario Tech72,Laurier79,OUA #60,Final*,Box Score
Brandon85,Saskatchewan81,Canada West,Final*,Box Score
UFV,UBC Okanagan,Canada West,Postponed*,Live stats
Manitoba73,Regina81,Canada West,Final*,Box Score
Thompson Rivers78,Lethbridge74,Canada West,Final*,Box Score
UBC70,Mount Royal77,Canada West,Final*,Box Score
Calgary67,UNBC74,Canada West,Final*,Box Score
Trinity Western85,Victoria97,Canada West,Final*,Box Score
Wed. 30,,,,
Away,Home,Notes,Status,Links
McMaster85,Guelph80,OUA #74,Final*,Box Score
December,,,,
Thu. 1,,,,
Away,Home,Notes,Status,Links
Acadia53,Dalhousie83,(4-point game) - Originally Nov. 18,Final*,Box ScoreRecapRecap
Laval60,UQAM83,RSEQ M14,Final*,Box Score
Brandon99,Winnipeg108,Canada West,Final*,Box Score
Fri. 2,,,,
Away,Home,Notes,Status,Links
Algoma59,Ottawa103,OUA Regular Season / Saison du SUO (Pavillon Montpetit Hall),Final*,Box ScoreRecap
Carleton68,Brock80,OUA #69,Final*,Box Score
Toronto Metropolitan84,Queen's82,OUA #70,Final*,Box Score
Toronto90,Ontario Tech81,OUA #72,Final*,Box Score
Lakehead98,Western85,OUA #73,Final*,Box Score
Waterloo58,Laurentian61,OUA #67,Final*,Box ScoreRecapRecap
Laurier80,Nipissing65,OUA #68,Final*,Box Score
Saskatchewan61,Manitoba84,Canada West,Final*,Box Score
Calgary76,Lethbridge83,Canada West,Final*,Box Score
Alberta100,UBC88,Canada West,Final*,Box Score
Regina86,UBC Okanagan81,Canada West,Final*,Box Score
MacEwan63,Thompson Rivers69,Canada West,Final*,Box ScoreRecap
Mount Royal80,Victoria114,Canada West,Final*,Box Score
UFV84,Trinity Western99,Canada West,Final*,Box Score
Sat. 3,,,,
Away,Home,Notes,Status,Links
Bishop's64,McGill69,RSEQ M15,Final*~,Box Score
Toronto Metropolitan76,Ontario Tech73,OUA #81,Final*,Box Score
Guelph85,Western96,OUA #186,Final*,Box Score
McMaster95,York72,OUA #76,Final*,Box Score
Lakehead83,Windsor99,OUA #80,Final*,Box Score
Waterloo66,Nipissing75,OUA #79,Final*,Box Score
Laurier78,Laurentian69,OUA #77,Final*,Box ScoreRecapRecap
Toronto95,Queen's96,OUA #75,Final*,Box Score
Saskatchewan58,Manitoba82,Canada West,Final*,Box Score
Winnipeg88,Brandon65,Canada West,Final*,Box Score
Regina75,UBC Okanagan79,Canada West,Final*,Box Score
Calgary65,Lethbridge73,Canada West,Final*,Box Score
Alberta100,UBC101,Canada West,Final - OT*,Box Score
Mount Royal71,Victoria103,Canada West,Final*,Box Score
UFV88,Trinity Western102,Canada West,Final*,Box Score
MacEwan61,Thompson Rivers99,Canada West,Final*,Box ScoreRecap
Sun. 4,,,,
Away,Home,Notes,Status,Links
Ottawa82,Brock70,OUA #83,Final*,Box ScoreRecap
Algoma71,Carleton99,,Final*,Box Score
Sat. 17,,,,
Away,Home,Notes,Status,Links
Thompson Rivers45,Saint Katherine68,,Final#,
Tue. 20,,,,
Away,Home,Notes,Status,Links
Thompson Rivers63,Hope International74,,Final#,
Wed. 28,,,,
Away,Home,Notes,Status,Links
Laval68,Brandon73,"Wesmen Classic - Quarterfinal @ Winnipeg, MB",Final#,Box Score
Bishop's96,Lakehead91,"Classique Olga Hyrcak @ Montreal, QC",Final#,Box Score
Regina106,Alberta102,"Wesmen Classic - Quarterfinal @ Winnipeg, MB",Final - OT#,Box Score
Calgary63,UQAM88,Classique Olga Hyrcak,Final#,Box Score
Algoma59,Winnipeg98,Wesmen Classic - Quarterfinal,Final#,Box Score
Ottawa79,Manitoba64,"Wesmen Classic - Quarterfinal @ Winnipeg, MB",Final#,Box Score
Thu. 29,,,,
Away,Home,Notes,Status,Links
UBC68,Vanguard84,"Tom Bryon Classic @ Santa Barbara, CA",Final#,
UNBC80,Vancouver Island University77,,Final#,
StFX124,Saint Mary's78,"Rod & Joan Shoveller Tournament @ Halifax, NS (Dal)",Final#,VideoBox ScoreRecap
